Agent1_toll	Agent2_toll	Agent3_toll	Agent4_toll	Timestep
2.9880679	1.002589	1.399756	4.0	0
0.1	1.5145723	1.3698274	3.7072163	60
1.502544	1.7645606	2.1375089	3.469723	120
2.4249225	0.1	2.9741008	0.5168565	180
1.5810035	3.7299154	0.9500668	1.8456736	240
3.5353794	2.9056618	0.18804502	2.750307	300
2.2241	3.098268	2.985043	4.0	360
2.9459581	1.7791662	1.8284807	3.1976936	420
0.9472593	0.97188735	0.2897578	1.4532124	480
2.0330064	0.1	2.1809676	4.0	540
0.1	2.6294878	2.2690735	0.1	600
4.0	1.4053372	3.538049	1.5911418	660
3.6698613	2.9270928	1.9936606	0.96002954	720
3.044841	0.1	0.1	1.552625	780
3.5658393	0.65230924	1.2598902	1.0171474	840
3.2711363	1.3273466	0.1	1.5517235	900
1.1616021	2.6953177	0.87631357	1.1214012	960
1.2008442	2.8080328	2.0329058	3.8893125	1020
1.3772435	1.0046004	0.1	3.4157999	1080
0.6773982	2.3294663	2.3260872	2.0346646	1140
2.5688162	1.2059549	2.886997	2.278324	1200
3.0061693	1.1490128	1.060079	0.80288064	1260
3.2718043	3.3719642	0.7329256	1.3600116	1320
2.4871256	2.1659915	3.6611452	2.6808276	1380


Max cumulative reward obtained= 2339.511607 Corresponding revenue($)= 2339.511607, TSTT(hrs)= 1162.135859, Throughput(veh)=8162.068568, JAHstat= 858.362297, remaining vehicles= 50.590859, JAHstat2=527.992483, RMSEML_vio=63.214165, percentTimeViolated(%)=3.486111, tdJAH2Max= 0.394559
