FromNode	ToNode	Length(mile)	Capacity(vph)	JamDensity(veh/mile)	FreeFlowSpeed(mph)	BackWaveSpeed(mph)	Class	InitialVehNo
1	2	0.22	8800	1056	66	22	INLINK	0
2	3	0.11	2200	264	66	22	ONRAMP	0
2	4	0.33	6600	792	66	22	GP	0
3	8	0.66	2200	264	66	22	HOT	0
4	5	0.22	2200	264	66	22	OUTLINK	0
4	9	0.44	6600	792	66	22	GP	0
6	7	0.22	4400	528	66	22	INLINK	0
7	8	0.11	2200	264	66	22	ONRAMP	0
7	9	0.22	6600	792	66	22	GP	0
8	32	3.85	2200	264	66	22	HOT	0
9	11	0.33	6600	792	66	22	GP	0
10	11	0.22	2200	264	66	22	INLINK	0
11	12	0.33	6600	792	66	22	GP	0
12	13	0.22	2200	264	66	22	OUTLINK	0
12	15	0.22	6600	792	66	22	GP	0
14	15	0.22	2200	264	66	22	INLINK	0
15	16	0.22	6600	792	66	22	GP	0
16	17	0.22	2200	264	66	22	OUTLINK	0
16	19	0.33	6600	792	66	22	GP	0
18	19	0.22	2200	264	66	22	INLINK	0
19	20	0.22	6600	792	66	22	GP	0
20	21	0.22	2200	264	66	22	OUTLINK	0
20	23	0.22	6600	792	66	22	GP	0
22	23	0.22	2200	264	66	22	INLINK	0
23	24	0.55	6600	792	66	22	GP	0
24	25	0.22	2200	264	66	22	OUTLINK	0
24	27	0.55	6600	792	66	22	GP	0
26	27	0.22	2200	264	66	22	INLINK	0
27	28	0.44	6600	792	66	22	GP	0
28	29	0.22	2200	264	66	22	OUTLINK	0
28	31	0.22	6600	792	66	22	GP	0
30	31	0.22	2200	264	66	22	INLINK	0
31	33	0.33	6600	792	66	22	GP	0
32	33	0.11	2200	264	66	22	OFFRAMP	0
32	35	0.44	2200	264	66	22	HOT	0
33	34	0.22	8800	1056	66	22	GP	0
34	35	0.11	2200	264	66	22	ONRAMP	0
34	36	0.44	6600	792	66	22	GP	0
35	60	5.83	2200	264	66	22	HOT	0
36	37	0.22	2200	264	66	22	OUTLINK	0
36	39	0.44	6600	792	66	22	GP	0
38	39	0.22	2200	264	66	22	INLINK	0
39	40	0.22	6600	792	66	22	GP	0
40	41	0.22	2200	264	66	22	OUTLINK	0
40	42	0.44	6600	792	66	22	GP	0
42	43	0.22	2200	264	66	22	OUTLINK	0
42	44	0.77	6600	792	66	22	GP	0
44	45	0.22	2200	264	66	22	OUTLINK	0
44	46	0.55	6600	792	66	22	GP	0
46	47	0.22	2200	264	66	22	OUTLINK	0
46	49	0.33	6600	792	66	22	GP	0
48	49	0.22	2200	264	66	22	INLINK	0
49	51	0.66	6600	792	66	22	GP	0
50	51	0.22	2200	264	66	22	INLINK	0
51	53	0.55	6600	792	66	22	GP	0
52	53	0.22	2200	264	66	22	INLINK	0
53	54	0.33	6600	792	66	22	GP	0
54	55	0.22	2200	264	66	22	OUTLINK	0
54	57	0.66	6600	792	66	22	GP	0
56	57	0.22	2200	264	66	22	INLINK	0
57	59	0.33	6600	792	66	22	GP	0
58	59	0.22	2200	264	66	22	INLINK	0
59	61	0.22	6600	792	66	22	GP	0
60	61	0.11	2200	264	66	22	OFFRAMP	0
61	62	0.22	8800	1056	66	22	OUTLINK	0
