OriginNode	DestNode	StartTime(sec)	EndTime(sec)	Demand(veh/hr)
1	5	0	900	356
1	5	900	1800	732
1	5	1800	2700	872
1	5	2700	3600	880
1	5	3600	4500	928
1	5	4500	5400	924
1	5	5400	6300	1096
1	5	6300	7200	956
1	5	7200	8100	940
1	5	8100	9000	1184
1	5	9000	9900	1216
1	5	9900	10800	1000
1	13	0	900	232
1	13	900	1800	348
1	13	1800	2700	316
1	13	2700	3600	364
1	13	3600	4500	328
1	13	4500	5400	428
1	13	5400	6300	328
1	13	6300	7200	356
1	13	7200	8100	456
1	13	8100	9000	480
1	13	9000	9900	400
1	13	9900	10800	472
1	17	0	900	180
1	17	900	1800	308
1	17	1800	2700	312
1	17	2700	3600	316
1	17	3600	4500	220
1	17	4500	5400	208
1	17	5400	6300	272
1	17	6300	7200	200
1	17	7200	8100	160
1	17	8100	9000	132
1	17	9000	9900	172
1	17	9900	10800	168
1	21	0	900	284
1	21	900	1800	624
1	21	1800	2700	688
1	21	2700	3600	820
1	21	3600	4500	840
1	21	4500	5400	900
1	21	5400	6300	840
1	21	6300	7200	808
1	21	7200	8100	776
1	21	8100	9000	464
1	21	9000	9900	268
1	21	9900	10800	152
1	25	0	900	112
1	25	900	1800	112
1	25	1800	2700	116
1	25	2700	3600	92
1	25	3600	4500	168
1	25	4500	5400	380
1	25	5400	6300	312
1	25	6300	7200	364
1	25	7200	8100	228
1	25	8100	9000	132
1	25	9000	9900	128
1	25	9900	10800	36
1	29	0	900	196
1	29	900	1800	420
1	29	1800	2700	400
1	29	2700	3600	300
1	29	3600	4500	292
1	29	4500	5400	188
1	29	5400	6300	220
1	29	6300	7200	236
1	29	7200	8100	260
1	29	8100	9000	152
1	29	9000	9900	164
1	29	9900	10800	76
1	37	0	900	76
1	37	900	1800	144
1	37	1800	2700	164
1	37	2700	3600	136
1	37	3600	4500	176
1	37	4500	5400	148
1	37	5400	6300	200
1	37	6300	7200	164
1	37	7200	8100	140
1	37	8100	9000	148
1	37	9000	9900	140
1	37	9900	10800	80
1	41	0	900	104
1	41	900	1800	180
1	41	1800	2700	188
1	41	2700	3600	144
1	41	3600	4500	200
1	41	4500	5400	124
1	41	5400	6300	88
1	41	6300	7200	156
1	41	7200	8100	128
1	41	8100	9000	68
1	41	9000	9900	84
1	41	9900	10800	36
1	43	0	900	64
1	43	900	1800	148
1	43	1800	2700	140
