FromNode	ToNode	Length(km)	Capacity(vph)	JamDensity(veh/km)	FreeFlowSpeed(km/hr)	BackWaveSpeed(km/hr)	Class	InitialVehNo
1	2	0.3	8800	660	90	30	INLINK	0
2	3	0.3	2200	165	90	30	ONRAMP	0
2	4	1.35	6600	495	90	30	GP	0
3	5	1.35	2200	165	90	30	HOT	0
4	5	0.3	2200	165	90	30	ONRAMP	0
4	7	0.9	6600	495	90	30	GP	0
5	6	0.45	2200	165	90	30	HOT	0
6	7	0.3	2200	165	90	30	OFFRAMP	0
6	9	0.9	2200	165	90	30	HOT	0
7	8	0.45	6600	495	90	30	GP	0
8	9	0.3	2200	165	90	30	ONRAMP	0
8	11	1.35	4400	495	90	30	GP	0
9	10	0.9	2200	165	90	30	HOT	0
10	11	0.3	2200	165	90	30	OFFRAMP	0
11	12	0.3	6600	660	90	30	OUTLINK	0
