OriginNode	DestNode	StartTime(sec)	EndTime(sec)	Demand(veh/hr)
1	6	0	300	1100
1	6	300	600	1650
1	6	600	900	2200
1	6	900	1200	2750
1	6	1200	1500	3300
1	6	1500	1800	3400
1	6	1800	2100	3500
1	6	2100	2400	3100
1	6	2400	2700	2600
1	6	2700	3000	2200
1	6	3000	3300	2100
1	6	3300	3600	2100
1	6	3600	3900	2100
1	6	3900	4200	2250
1	6	4200	4500	2350
1	6	4500	4800	2150
1	6	4800	5100	1950
1	6	5100	5400	1750
1	6	5400	5700	1550
1	6	5700	6000	1050
1	6	6000	6300	500
1	6	6300	6600	50
1	6	6600	6900	0
1	6	6900	7200	0
